2020-07-26 18:20:04.954 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - Starting BlogApplication on DESKTOP-CNOGRH7 with PID 17224 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:20:04.961 [restartedMain] DEBUG com.aimerrhythms.blog.BlogApplication - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:20:04.962 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - No active profile set, falling back to default profiles: default
2020-07-26 18:20:05.029 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-07-26 18:20:05.029 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-07-26 18:20:05.773 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:20:06.187 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-07-26 18:20:06.196 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-26 18:20:06.197 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:20:06.280 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-26 18:20:06.280 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1251 ms
2020-07-26 18:20:06.431 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:20:06.494 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-26 18:20:06.792 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-26 18:20:06.835 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:20:06.844 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - Started BlogApplication in 2.379 seconds (JVM running for 3.337)
2020-07-26 18:24:22.331 [Thread-10] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-26 18:24:22.453 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - Starting BlogApplication on DESKTOP-CNOGRH7 with PID 17224 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:24:22.454 [restartedMain] DEBUG com.aimerrhythms.blog.BlogApplication - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:24:22.454 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - No active profile set, falling back to default profiles: default
2020-07-26 18:24:22.723 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:24:22.787 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-07-26 18:24:22.788 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-26 18:24:22.788 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:24:22.813 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-26 18:24:22.814 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 358 ms
2020-07-26 18:24:22.875 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:24:22.892 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-26 18:24:23.007 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-26 18:24:23.026 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:24:23.029 [restartedMain] INFO  com.aimerrhythms.blog.BlogApplication - Started BlogApplication in 0.604 seconds (JVM running for 259.521)
2020-07-26 18:24:23.031 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-07-26 18:25:11.160 [Thread-17] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-26 18:25:11.286 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 17224 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
